"ID","Nome","Indirizzo","Delivery","Prenotazione online","Tipo cucina","Prezzo","Descrizione","Latitudine","Longitudine"
"21","Caino","via della Chiesa 4, Montemerano, 58014, Italy","False","False","Tuscan","€€€€","Standing in the centre of a charming Tuscan village, Caino is at the epicentre of the cuisine of the Maremma, where Valeria Piccini is its proudest ambassador. This skilful chef sources the best ingredients from the region and then extracts every ounce of flavour from them, as demonstrated by the cacio cheese ravioli in beetroot cream and the pici pasta “alla amatriciana”. If you’re a fan of fish and seafood, try the stew which is made using delicately flavoured fish and a cream sauce, and served with blanched seasonal vegetables and traditional Tuscan crostino. Front of house, Valeria is ably assisted by son Andrea, who oversees the well-stocked wine cellar featuring a selection of different Brunello and Barolo vintages, as well as Bordeaux-style Tuscan labels, all at excellent prices. And if you’re in company, make sure you share a good Vin Santo Occhio di Pernice from 1988 or 1989. In summer, the bistro-style Il Giardino di Caino opens on the terrace, serving simpler dishes inspired by old family traditions.","42.6220221","11.4906283"
"22","Seta by Antonio Guida","via Andegari 9, Milan, 20121, Italy","True","True","International","€€€€","Situated within the Mandarin Oriental hotel, a popular choice for international travellers, this restaurant serves cuisine that reflects the cosmopolitan flavours of Milan. Three tasting menus are available: the first showcases chef Antonio Guida’s classic specialities, the second has a seasonal focus, and the third chooses one particular ingredient as its theme. In spring, different species of oily fish take centre stage including anchovies, spatula fish and bonito served with whelks, kidneys and samphire, all of which are truly delicious! The extensive wine selection features a choice of wines by the glass as well as some excellent magnum options, including a few fine vintages.","45.4694121","9.1910082"
"23","La Madia","corso Filippo Re Capriata 22, Licata, 92027, Italy","True","False","Creative","€€€€","Park in one of the streets near this restaurant and prepare yourself for a delightful journey through Sicily and its culinary traditions! Chef Pino Cuttaia, who is demonstrably in love with his native island, highlights his ingredients in a simple and unfussy way. He uses contemporary techniques, such as in the extremely light mozzarella and tomato dish served at the beginning of the meal, as well as more traditional methods evident in the black Nebrodi suckling pig served with a tomato-based “sugo della Domenica” (Sunday gravy). The two small dining rooms with a modern and minimalist feel offer an attractive setting for this enjoyable culinary experience. Wine-enthusiasts will appreciate the interesting selection of labels (including large bottles popular with connoisseurs). We recommend the 2019 Baglio Cristo di Campobello Adènzia, a red wine with earthy notes and delightful finesse.","37.1070131","13.9338055"
"24","Madonnina del Pescatore","via Lungomare Italia 11, Marzocca, 60019, Italy","True","True","Creative","€€€€","It’s now forty years since the Madonnina opened in 1984, yet chef Moreno Cedroni has not lost the creative touch that has resulted in him becoming one of the most influential chefs of his generation. Year after year, eating at La Madonnina remains a novelty: the menu succeeds like no other in reflecting past traditions and future culinary trends, especially in its fish and seafood dishes, and new dishes are added regularly, often having been researched in the laboratory next to the restaurant using specialised food technology. There are two tasting menus available: “Ricordi d'infanzia & Mariella 1984-2024” featuring chef Cedroni’s great classic dishes, and “Luca e Moreno... Il Viaggio di Marco Polo” which includes dishes with an Asian and Middle Eastern influence. The chef’s wife Mariella oversees the excellent service front of house, while this wonderful couple’s commitment to their cuisine is also demonstrated by their vegetable garden situated almost right on the beach, which provides vegetables infused with the salty sea air – a brilliant idea that represents their strong connection to the land. The wine list features a popular selection of French sparkling wines.","43.6806944","13.2821211"
"25","Campo del Drago","Località Castiglion del Bosco, Montalcino, 53024, Italy","True","False","Contemporary","€€€€","A certain amount of patience is required to get to this restaurant accessed via a dusty yet attractive dirt track that wends its way through typical Tuscan landscapes. On arrival, you’ll find an enchanting village of medieval origin with a tower and an old, frescoed church, where the Rosewood Castiglion del Bosco (awarded 3 Michelin keys) offers excellent service, splendid guestrooms and one of the best restaurants in the region. Here, chef Matteo Temperini serves some of the most interesting and creative dishes in Tuscany, many of which are prepared using vegetables from the hotel’s own kitchen garden, all showcased on three tasting menus and an à la carte from which a minimum of three courses must be chosen. Dishes are served in an elegant, contemporary-style dining room with a panoramic terrace, while the wine list features over 700 labels with a focus on the region – plenty of Brunellos, plus a particularly noteworthy 2016 Sasso al Sole, also available by the glass.","43.08386","11.422479"
"26","Castel fine dining","vicolo dei Castagni 18, Tirol, 39019, Italy","True","False","Creative","€€€€","180° views of the Val Venosta provide the theatrical setting for chef Gerhard Wieser’s precise, technical cuisine at this restaurant, where the tasting menu changes with the seasons and focuses on the region, with the exception of a few ingredients such as the Sicilian scampi which offer an exquisite alternative to the meat dishes on offer here. Highlights include the local, organic suckling pig ravioli served with parmesan foam and three types of pepper (Szechuan, South Tyrolean and Indian) which add an original flavour to the dish. Talented sommelier Ivana is on hand to help with wine choices, paying careful attention to guests’ individual preferences, while praise is also due to Florian and his staff for their excellent service.","46.6862223","11.1568653"
"27","Villa Feltrinelli","via Rimembranza 38/40, Gargnano, 25084, Italy","True","False","Creative","€€€€","Villa Feltrinelli was the lakeside holiday home of the Milanese family of the same name, who chose this beautiful location on Lake Garda for its scenery of rugged mountains and its relaxing ambience. Today, over a century later, this beautiful setting is home to a luxury hotel and restaurant. Sip an aperitif on the lakeside, then move to the beautiful terrace or elegant dining room to enjoy Stefano Baiocco’s surprise tasting menu which features freshwater fish, seafood and the finest cuts of Italian meat, all expertly prepared and skilfully flavoured with different aromatic herbs. In short, this restaurant has it all – timeless appeal, striking architecture and breathtaking beauty.","45.693253","10.669477"
"28","Il Pagliaccio","via dei Banchi Vecchi 129/a, Rome, 00186, Italy","False","True","Creative","€€€€","From its location in the heart of Rome, this restaurant takes guests on a culinary journey across the globe, with a focus on Asia and Japan in particular. Anthony Genovese blends influences from his experiences and travels to astonishing effect on two tasting menus – one dedicated to recipes that have become his signature dishes over the years, the other featuring new creations, all served in a quiet, elegant setting where excellent service is the order of the day. When the restaurant is open at lunchtime (on Saturdays), there’s also a shorter tasting menu, while if you want a longer and more private experience, you can book the Parallelsmenu served in a small room for a maximum of six guests.","41.89793","12.4673729"
"29","Locanda Sant'Uffizio Enrico Bartolini","strada Sant'Uffizio 1, Cioccaro, 14030, Italy","False","True","Piedmontese","€€€€","Nestled amid the picturesque hills of the Monferrato region, this restaurant overseen by multi-Michelin-starred Enrico Bartolini sees Gabriele Boffa at the helm in the kitchen, a chef who is young in years but already a real connoisseur of Piedmontese cuisine. With experience in some of the world’s best restaurants behind him, Boffa has accumulated expert knowledge and remarkable technical skills. His cuisine ranges from classic regional dishes interpreted in their purest form – such as his extraordinary agnolotti del plin – to more creative options, which demonstrate a connection with the region, whether in their ingredients or recipes. The setting here is that of an old monastery converted into a smart hotel, with meals served either in an elegant dining room or in the old limonaia (where lemon trees were once stored). The dishes on offer will linger long in the memory, from the generous amuses-bouches to the delicious bread and incredible focaccia, the top-quality meat and much more besides!","45.0271679","8.2778294"
"30","Santa Elisabetta","piazza Santa Elisabetta 3, Florence, 50122, Italy","True","False","Creative","€€€€","Thought to date back to Byzantine times, the Torre della Pagliazza has had many uses over the centuries, including housing a women’s prison in the 12C. Today it is home to one of the most interesting gourmet restaurants in Florence, where chef Rocco De Santis creates imaginative Mediterranean cuisine which is precise and full of flavour, with influences from his native Campania and an emphasis on fish and seafood. At lunchtime, a tasting menu of just three courses (“Carte Blanche”) is also available. As there are just a few tables here, guests are advised to book well in advance.","43.7717322","11.2558883"
"31","San Domenico","via Sacchi 1, Imola, 40026, Italy","False","False","Classic Cuisine","€€€€","Although the kitchens have been recently updated with the latest equipment and a chef's table (“Saletta 22”) which allows guests to admire the chefs at work, San Domenico has retained its timeless charm – from the almost English-style ambience of its dining rooms to the outdoor tables overlooking an attractive square with public gardens in the historic centre. This setting provides the perfect backdrop for Massimiliano Mascia’s cuisine, which includes a selection of local and Italian dishes, all prepared simply, without excessive frills and with a focus on flavour and guest satisfaction that avoids modern trends. The extensive wine list offers an array of excellent labels, including a section dedicated exclusively to rare bottles produced before 1985!","44.3557172","11.7124431"
"32","La Peca","via Alberto Giovanelli 2, Lonigo, 36045, Italy","False","True","Modern Cuisine","€€€€","Overlooking attractive rolling hills, La Peca has long been a bastion of top-quality cuisine full of strong and decisive flavours, which aims to satisfy the palate without resorting to unnecessary frills. The extensive selection includes tasting menus and an à la carte, making it impossible to list all the dishes we found memorable. However, special mention should go to the Laguna Veneta seafood antipasto, as well as the extraordinary risotto with guinea fowl, leeks and Garganega grape must, and the classic wholewheat bigoli pasta with anchovies, featuring the creative addition of red onion ice-cream, marinated anchovies and anchovy crostini. The main dishes include the excellent mallard duck, as well as fish such as barbecued eel with radicchio, apple and horseradish. The restaurant has always been strong on desserts, serving memorable options such as a reinterpreted cassata, Mont Blanc and an extraordinary choice of ice-creams and sorbets. The impressive wine cellar features around 2 000 different labels.","45.3848934","11.3990641"
"33","daní maison","via Montetignuso 4, Ischia, 80077, Italy","True","True","Contemporary","€€€€","This aptly named restaurant (At Nino’s house) is situated in chef Nino Di Costanzo’s own house in a residential district amid the hills of Ischia. Once over the threshold, you make your way through a garden planted with a variety of Mediterranean maquis shrubs and flowers, where aperitifs and post-dinner drinks are served in the evening. There are just a few tables in the dining room, which is crowned by a typical vaulted ceiling and where guests wishing to watch the chef at work can take a seat right in front of the kitchen. The dishes here are extremely elaborate, technical and sophisticated, perfect for anyone who loves concept-based cuisine with occasionally surprising results, including in presentation. If you’re coming here by car, take care on the last stretch of road which is particularly narrow.","40.7302578","13.9487527"
"34","Terra The Magic Place","località Prati 21, Sarentino, 39058, Italy","False","True","Creative","€€€€","At the end of the long uphill road through the woods, there is Terra, a magical place in a fairy-tale landscape, where you can enjoy a romantic and refined atmosphere combining the tradition of wood with modern elements, such as the wine cellar suspended over the room. The patron Heinrich Schneider has become a great chef starting out from being self taught. Study and application, together with a great love for and attachment to the mountains, did the rest. The gastronomic experience is offered through a single organized tasting menu in which, with a good pace, you can enjoy little masterpieces of aesthetics and taste. The locally sourced beef is splendid: a double tasting based on braised meat with a glaze of garbanzo beans, stellaria and liquid gnocchi, potatoes and charcoal-grilled tenderloin with a glaze of spices, pimpernel oil and scorzonera. For the wines, you need only trust in the completeness of the list (alcohol-free wines too) and the enthusiastic expertise of Gisela, the chef's sister. Being in a rather isolated position, you may like to take advantage of the exclusive private resort that completes a truly unique experience.","46.6521107","11.3221975"
"35","Enoteca La Torre","lungotevere delle Armi 22/23, Rome, 00195, Italy","False","False","Mediterranean Cuisine","€€€€","Situated within the aristocratic Hotel Villa Laetitia with its fine architecture dating from 1911, this restaurant occupies a magnificent dining room adorned with stucco and columns, with splendid windows overlooking the exclusive garden – the perfect setting for a special occasion. Chef Domenico Stile has not forgotten his native Campania, which features in many of his dishes (from the Tarallo crackers to the baba dessert), alongside more creative influences from Italy and further afield.","41.916491","12.4693268"
"36","Taverna Estia","via Guido De Ruggiero 108, Brusciano, 80031, Italy","False","False","Contemporary","€€€€","An aromatic herb garden greets visitors to this restaurant, followed by jasmine-covered alcoves that provide the perfect setting for a romantic dinner in fine weather or, if you prefer to eat indoors, an elegant dining room with a wine cellar and open-view kitchen. The restaurant is run by brothers Mario and Francesco Sposito (the former front of house, the latter in the kitchen), who together keep alive the soul of the restaurant that they inherited from their parents. They have also improved the quality so that the restaurant’s reputation now extends well beyond the region. Choose from different tasting menus (from which dishes can be chosen à la carte if you prefer) featuring remarkable and exciting dishes influenced by the flavours of Campania. More than a thousand wines, including an impressive choice of French labels, complete the picture.","40.9083323","14.4232938"
"37","Krèsios","via San Giovanni 59, Telese, 82037, Italy","True","True","Creative","€€€€","This old country house is the setting for some of the region’s most innovative cuisine. There’s no choice here, just one long surprise tasting menu with many courses that takes guests on a fast-paced and exciting culinary voyage. Although some of the dishes are inspired by Campanian traditions, the menu features flavours from around the world, recreating often little-known Italian and international recipes with a personalised twist. Chef Giuseppe Iannotti always succeeds in surprising his guests, thanks to his ingredients, cooking techniques and stunning presentations. A selection of wines from small-scale producers completes the picture – after all, Krèsios is simply another name for Bacchus.","41.2045624","14.5000207"
